127.0.0.1 - - [20/Nov/2023:17:58:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:17 +0900] "GET /bookrental/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/BookServlet?command=book_main HTTP/1.1" 200 7332
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/css/reset.css HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/css/main.css HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/script/bookMain.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/css/header.css HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/logo.png HTTP/1.1" 200 23650
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/script/header.js HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/serch.jpg HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/slide1.jpg HTTP/1.1" 200 110719
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/slide2.jpg HTTP/1.1" 200 135543
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/slide3.jpg HTTP/1.1" 200 70868
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/css/footer.css HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/slide4.jpg HTTP/1.1" 200 134812
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/%EC%97%AD%EC%82%AC%EB%8A%94%EB%B0%98%EB%B3%B5%EB%90%9C%EB%8B%A4.jpg HTTP/1.1" 200 72082
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/https://image.aladin.co.kr/product/32361/59/cover500/k592935565_2.jpg HTTP/1.1" 404 929
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/%ED%9D%AC%EB%A7%9D%EC%9D%98%EA%B8%B0%EB%8F%841.jpg HTTP/1.1" 200 53260
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/%EC%84%A4%EC%9E%90%EC%9D%80%EA%B8%88%EC%84%B1%EC%9C%BC%EB%A1%9C%EB%8F%8C%EC%95%84%EC%98%A4%EB%8B%A42.jpg HTTP/1.1" 200 108643
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/%ED%95%9C%EA%B5%AD%EC%9D%B4%EC%97%B4%EA%B4%91%ED%95%A0%ED%8A%B8%EB%A0%8C%EB%93%9C.jpg HTTP/1.1" 200 84464
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/%EA%B3%A0%EC%96%91%EC%9D%B4%ED%95%B4%EA%B2%B0%EC%82%AC%EA%B9%9C%EB%83%A5.jpg HTTP/1.1" 200 58680
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/%EC%9E%90%EB%B0%94%EC%9D%98%EC%8B%A0.jpg HTTP/1.1" 200 43340
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /bookrental/image/%EC%B1%85%EC%9C%BC%EB%A1%9C%EA%B0%80%EB%8A%94%EB%AC%B8.jpg HTTP/1.1" 200 57379
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:58:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:59:08 +0900] "GET /bookrental/BookServlet?command=book_detail_view&isbn=9791192836188 HTTP/1.1" 200 9322
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:59:08 +0900] "GET /bookrental/css/bookDetailView.css HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:59:08 +0900] "GET /bookrental/image/https://image.aladin.co.kr/product/32361/59/cover500/k592935565_2.jpg HTTP/1.1" 404 929
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:59:08 +0900] "GET /bookrental/image/svisual_img.png HTTP/1.1" 200 557201
0:0:0:0:0:0:0:1 - - [20/Nov/2023:17:59:08 +0900] "GET /bookrental/image/ico_naviArrow.png HTTP/1.1" 200 1027
